3.835 (-41)
1.131 (-40)
6.231 (-41)

47
5.169 (-41)
4.005 (-41)
1.190 (-40)
6.510 (-41)

48
5.421 (-41)
4.179 (-41)
1.250 (-40)
6.792 (-41)

49
5.679 (-41)
4.355 (-41)
1.312 (-40)
7.080 (-41)

50
5.944 (-41)
4.535 (-41)
1.376 (-40)
7.372 (-41)

51
6.215 (-41)
4.717 (-41)
1.441 (-40)
7.669 (-41)

52
6.492 (-41)
4.903 (-41)
1.508 (-40)
7.970 (-41)

53
6.776 (-41)
5.091 (-41)
1.577 (-40)
8.275 (-41)

54
7.066 (-41)
5.283 (-41)
1.648 (-40)
8.585 (-41)

55
7.362 (-41)
5.477 (-41)
1.721 (-40)
8.899 (-41)

60
8.941 (-41)
6.488 (-41)
2.109 (-40)
1.053 (-40)

65
1.068 (-40)
7.563 (-41)
2.543 (-40)
1.225 (-40)

70
1.258 (-40)
8.698 (-41)
3.022 (-40)
1.406 (-40)

75
1.463 (-40)
9.890 (-41)
3.546 (-40)
1.594 (-40)

80
1.683 (-40)
1.113 (-40)
4.115 (-40)
1.789 (-40)

85
1.919 (-40)
1.241 (-40)
4.729 (-40)
1.989 (-40)

90
2.169 (-40)
1.373 (-40)
5.388 (-40)
2.195 (-40)

95
2.433 (-40)
1.509 (-40)
6.090 (-40)
2.405 (-40)

100
2.711 (-40)
1.647 (-40)
6.836 (-40)
2.618 (-40)

105
3.003 (-40)
1.789 (-40)
7.626 (-40)
2.835 (-40)

110
3.308 (-40)
1.933 (-40)
8.456 (-40)
3.055 (-40)

115
3.624 (-40)
2.079 (-40)
9.324 (-40)
3.278 (-40)

120
3.953 (-40)
2.227 (-40)
1.023 (-39)
3.502 (-40)

125
4.291 (-40)
2.375 (-40)
1.118 (-39)
3.727 (-40)

130
4.641 (-40)
2.525 (-40)
1.216 (-39)
3.954 (-40)

135
5.000 (-40)
2.675 (-40)
1.317 (-39)
4.182 (-40)

140
5.367 (-40)
2.826 (-40)
1.422 (-39)
4.411 (-40)

145
5.744 (-40)
2.978 (-40)
1.530 (-39)
4.640 (-40)

150
6.130 (-40)
3.129 (-40)
1.641 (-39)
4.871 (-40)

155
6.524 (-40)
3.281 (-40)
1.755 (-39)
5.101 (-40)

160
6.925 (-40)
3.432 (-40)
1.872 (-39)
5.332 (-40)

165
7.331 (-40)
3.584 (-40)
1.991 (-39)
5.565 (-40)

170
7.743 (-40)
3.735 (-40)
2.113 (-39)
5.796 (-40)
