  0.097849
       46.78   5.822e-17       21.54   3.778e-11       53.67   3.036e-24
       54.24   4.846e-20       24.25   4.405e-12       55.69   4.957e-25
       62.89   1.269e-23       27.28   3.639e-13       57.72   8.086e-26
       72.91   8.686e-28        30.7   2.041e-14       59.74   1.318e-26
       84.54   1.278e-32       34.55   7.397e-16       61.77   2.149e-27
       98.01   2.176e-38       38.88   1.641e-17        63.8   3.505e-28
       113.6   1.401e-45       43.76   2.094e-19       65.82   5.721e-29
       131.8           0       49.24   1.434e-21       67.85    9.35e-30
       152.8           0       55.41   4.876e-24       69.87    1.53e-30
       177.1           0       62.35    7.53e-27        71.9   2.509e-31
       205.3   1.401e-45       70.17    4.78e-30       73.92    4.12e-32
       238.1   1.401e-45       78.97   1.113e-33       75.95   6.781e-33
         276   1.401e-45       88.86   8.387e-38       77.97   1.118e-33
         320           0         100           0          80           0
  0.267690
           1           0           1           0           1           0
       1.159   2.098e-05       1.125   5.913e-08       3.026   1.268e-07
       1.344   3.309e-05       1.266   7.891e-08       5.051    8.84e-08
       1.559   5.169e-05       1.425    1.04e-07       7.077   3.842e-08
       1.807   7.962e-05       1.604   1.353e-07       9.103   1.422e-08
       2.095   0.0001203       1.805   1.736e-07       11.13   4.891e-09
       2.429   0.0001777       2.031   2.195e-07       13.15   1.571e-09
       2.816   0.0002554       2.286   2.729e-07       15.18   4.653e-10
       3.265   0.0003571       2.572   3.327e-07        17.2   1.261e-10
       3.785   0.0004875       2.894   3.962e-07       19.23   3.147e-11
       4.389   0.0006535       3.257   4.586e-07       21.26   7.349e-12
       5.088    0.000865       3.665   5.132e-07       23.28   1.628e-12
       5.899     0.00113       4.125   5.513e-07       25.31   3.459e-13
        6.84    0.001438       4.642   5.642e-07       27.33   7.104e-14
        7.93    0.001736       5.223   5.454e-07       29.36   1.419e-14
       9.194    0.001899       5.878   4.934e-07       31.39   2.767e-15
       10.66    0.001745       6.615   4.134e-07       33.41   5.291e-16
       12.36    0.001184       7.444   3.172e-07       35.44   9.949e-17
       14.33   0.0004878       8.377     2.2e-07       37.46   1.845e-17
       16.61   0.0001052       9.427   1.361e-07       39.49   3.378e-18
       19.26   1.303e-05       10.61   7.392e-08       41.51   6.099e-19
       22.33   1.023e-06       11.94   3.464e-08       43.54   1.098e-19
       25.89   4.874e-08       13.43   1.374e-08       45.56   1.964e-20
       30.02   1.302e-09       15.12   4.512e-09       47.59   3.494e-21
        34.8   1.789e-11       17.01   1.197e-09       49.62   6.191e-22
       40.35   1.148e-13       19.15   2.499e-10       51.64   1.094e-22
       46.78   3.078e-16       21.54   3.977e-11       53.67   1.928e-23
       54.24   3.086e-19       24.25   4.664e-12       55.69   3.395e-24
       62.89   1.011e-22       27.28   3.877e-13       57.72   5.974e-25
       72.91   9.047e-27        30.7   2.188e-14       59.74   1.051e-25
       84.54    1.84e-31       34.55   7.987e-16       61.77    1.85e-26
       98.01   5.553e-37       38.88   1.786e-17        63.8   3.261e-27
       113.6   7.006e-44       43.76   2.302e-19       65.82   5.755e-28
       131.8           0       49.24     1.6e-21       67.85   1.017e-28
       152.8           0       55.41   5.568e-24       69.87   1.802e-29
       177.1           0       62.35   8.971e-27        71.9     3.2e-30
       205.3   1.401e-45       70.17    6.19e-30       73.92   5.695e-31
       238.1   1.401e-45       78.97   1.725e-33       75.95   1.016e-31
         276   1.401e-45       88.86   1.933e-37       77.97   1.818e-32
         320           0         100           0          80           0
  0.271920
           1           0           1           0           1           0
       1.159   2.058e-05       1.125    5.81e-08       3.026   1.246e-07
       1.344   3.276e-05       1.266   7.757e-08       5.051    8.83e-08
       1.559   5.176e-05       1.425   1.023e-07       7.077    3.91e-08
       1.807   8.081e-05       1.604   1.332e-07       9.103   1.484e-08
